feature_name	event_name	aggregation_type	aggregation_field	price_per_unit
google-transcriber-gemini-2.0-flash-latest-completionTokens	google-transcriber-gemini-2.0-flash-latest	SUM	completionTokens	0.0000004
google-transcriber-gemini-2.0-flash-latest-promptTokens	google-transcriber-gemini-2.0-flash-latest	SUM	promptTokens	0.0000001
google-transcriber-gemini-2.0-flash-lite-001-completionTokens	google-transcriber-gemini-2.0-flash-lite-001	SUM	completionTokens	0.0000003
google-transcriber-gemini-2.0-flash-lite-001-promptTokens	google-transcriber-gemini-2.0-flash-lite-001	SUM	promptTokens	0.000000075
google-transcriber-gemini-2.0-flash-lite-exp-completionTokens	google-transcriber-gemini-2.0-flash-lite-exp	SUM	completionTokens	0
google-transcriber-gemini-2.0-flash-lite-exp-promptTokens	google-transcriber-gemini-2.0-flash-lite-exp	SUM	promptTokens	0
google-transcriber-gemini-2.0-flash-thinking-exp-01-21-completionTokens	google-transcriber-gemini-2.0-flash-thinking-exp-01-21	SUM	completionTokens	0
google-transcriber-gemini-2.0-flash-thinking-exp-01-21-promptTokens	google-transcriber-gemini-2.0-flash-thinking-exp-01-21	SUM	promptTokens	0
google-transcriber-gemini-2.5-flash-lite-preview-06-17-completionTokens	google-transcriber-gemini-2.5-flash-lite-preview-06-17	SUM	completionTokens	0.0000004
google-transcriber-gemini-2.5-flash-lite-preview-06-17-promptTokens	google-transcriber-gemini-2.5-flash-lite-preview-06-17	SUM	promptTokens	0.0000001
google-transcriber-gemini-2.5-flash-preview-04-17-completionTokens	google-transcriber-gemini-2.5-flash-preview-04-17	SUM	completionTokens	0.0000025
google-transcriber-gemini-2.5-flash-preview-04-17-promptTokens	google-transcriber-gemini-2.5-flash-preview-04-17	SUM	promptTokens	0.0000003
google-transcriber-gemini-2.5-pro-preview-05-06-completionTokens	google-transcriber-gemini-2.5-pro-preview-05-06	SUM	completionTokens	0.00001
google-transcriber-gemini-2.5-pro-preview-05-06-promptTokens	google-transcriber-gemini-2.5-pro-preview-05-06	SUM	promptTokens	0.00000125
google-transcriber-gemini-2.5-pro-preview-06-05-completionTokens	google-transcriber-gemini-2.5-pro-preview-06-05	SUM	completionTokens	0.00001
google-transcriber-gemini-2.5-pro-preview-06-05-promptTokens	google-transcriber-gemini-2.5-pro-preview-06-05	SUM	promptTokens	0.00000125
google-transcriber-gemini-exp-1206-completionTokens	google-transcriber-gemini-exp-1206	SUM	completionTokens	0
google-transcriber-gemini-exp-1206-promptTokens	google-transcriber-gemini-exp-1206	SUM	promptTokens	0
google-transcriber-gemini-pro-completionTokens	google-transcriber-gemini-pro	SUM	completionTokens	0.0000015
google-transcriber-gemini-pro-promptTokens	google-transcriber-gemini-pro	SUM	promptTokens	0.0000005
google-transcriber-promptTokens	google-transcriber	SUM	promptTokens	0.0000001
