event_name,methodName,dataInterface,unprocessed_count,Actionable FP,Actionable Vapi,status
perplexity-ai-modeling,modeling,MODEL_USAGE_DATA_TYPE,2,Create llm type feature with 0 price and reprocess,Need pricing,
rime-ai-synthesizer-mist,synthesizer,MODEL_USAGE_DATA_TYPE,2,,,
rime-ai-synthesizer-mistv2,synthesizer,MODEL_USAGE_DATA_TYPE,2,,,
speechmatics-transcriber-ga,transcriber,DURATION_DATA,1,,,
playht-synthesizer-playdialog,synthesizer,MODEL_USAGE_DATA_TYPE,1,,,
deepinfra-modeling,modeling,MODEL_USAGE_DATA_TYPE,1,Create llm type feature with 0 price and reprocess,Need pricing,
speechmatics-transcriber-fa,transcriber,DURATION_DATA,1,,,
vapi-smallest-call-service,smallest-call-service,DURATION_DATA,1,,,
speechmatics-transcriber-auto,transcriber,DURATION_DATA,1,,,
speechmatics-transcriber-vi,transcriber,DURATION_DATA,1,,,
