feature_name,event_name,aggregation_type,aggregation_field,price_per_unit
anthropic-modeling-claude-3-7-sonnet-20250219-completionTokens,anthropic-modeling-claude-3-7-sonnet-20250219,SUM,completionTokens,0
anthropic-modeling-claude-3-7-sonnet-20250219-cachedPromptTokens,anthropic-modeling-claude-3-7-sonnet-20250219,SUM,cachedPromptTokens,0
anthropic-modeling-claude-3-7-sonnet-20250219-cacheCreationInputTokens,anthropic-modeling-claude-3-7-sonnet-20250219,SUM,cacheCreationInputTokens,0
anthropic-modeling-claude-3-7-sonnet-20250219-cacheReadInputTokens,anthropic-modeling-claude-3-7-sonnet-20250219,SUM,cacheReadInputTokens,0
11labs-synthesizer-eleven_turbo_v2-promptTokens,11labs-synthesizer-eleven_turbo_v2,SUM,promptTokens,0
11labs-synthesizer-eleven_turbo_v2-completionTokens,11labs-synthesizer-eleven_turbo_v2,SUM,completionTokens,0
11labs-synthesizer-eleven_turbo_v2-cachedPromptTokens,11labs-synthesizer-eleven_turbo_v2,SUM,cachedPromptTokens,0
11labs-synthesizer-eleven_turbo_v2-cacheCreationInputTokens,11labs-synthesizer-eleven_turbo_v2,SUM,cacheCreationInputTokens,0
11labs-synthesizer-eleven_turbo_v2-cacheReadInputTokens,11labs-synthesizer-eleven_turbo_v2,SUM,cacheReadInputTokens,0
deepgram-synthesizer-promptTokens,deepgram-synthesizer,SUM,promptTokens,0
deepgram-synthesizer-completionTokens,deepgram-synthesizer,SUM,completionTokens,0
deepgram-synthesizer-cachedPromptTokens,deepgram-synthesizer,SUM,cachedPromptTokens,0
deepgram-synthesizer-cacheCreationInputTokens,deepgram-synthesizer,SUM,cacheCreationInputTokens,0
deepgram-synthesizer-cacheReadInputTokens,deepgram-synthesizer,SUM,cacheReadInputTokens,0
openai-voicemail-detection-gpt-4o-audio-preview-promptTokens,openai-voicemail-detection-gpt-4o-audio-preview,SUM,promptTokens,0
openai-voicemail-detection-gpt-4o-audio-preview-completionTokens,openai-voicemail-detection-gpt-4o-audio-preview,SUM,completionTokens,0
openai-voicemail-detection-gpt-4o-audio-preview-cachedPromptTokens,openai-voicemail-detection-gpt-4o-audio-preview,SUM,cachedPromptTokens,0
openai-voicemail-detection-gpt-4o-audio-preview-cacheCreationInputTokens,openai-voicemail-detection-gpt-4o-audio-preview,SUM,cacheCreationInputTokens,0
openai-voicemail-detection-gpt-4o-audio-preview-cacheReadInputTokens,openai-voicemail-detection-gpt-4o-audio-preview,SUM,cacheReadInputTokens,0
11labs-synthesizer-eleven_flash_v2_5-promptTokens,11labs-synthesizer-eleven_flash_v2_5,SUM,promptTokens,0
11labs-synthesizer-eleven_flash_v2_5-completionTokens,11labs-synthesizer-eleven_flash_v2_5,SUM,completionTokens,0
11labs-synthesizer-eleven_flash_v2_5-cachedPromptTokens,11labs-synthesizer-eleven_flash_v2_5,SUM,cachedPromptTokens,0
11labs-synthesizer-eleven_flash_v2_5-cacheCreationInputTokens,11labs-synthesizer-eleven_flash_v2_5,SUM,cacheCreationInputTokens,0
11labs-synthesizer-eleven_flash_v2_5-cacheReadInputTokens,11labs-synthesizer-eleven_flash_v2_5,SUM,cacheReadInputTokens,0
azure-synthesizer-promptTokens,azure-synthesizer,SUM,promptTokens,0
azure-synthesizer-completionTokens,azure-synthesizer,SUM,completionTokens,0
azure-synthesizer-cachedPromptTokens,azure-synthesizer,SUM,cachedPromptTokens,0
azure-synthesizer-cacheCreationInputTokens,azure-synthesizer,SUM,cacheCreationInputTokens,0
azure-synthesizer-cacheReadInputTokens,azure-synthesizer,SUM,cacheReadInputTokens,0
google-voicemail-detection-gemini-2.5-flash-promptTokens,google-voicemail-detection-gemini-2.5-flash,SUM,promptTokens,0
google-voicemail-detection-gemini-2.5-flash-completionTokens,google-voicemail-detection-gemini-2.5-flash,SUM,completionTokens,0
google-voicemail-detection-gemini-2.5-flash-cachedPromptTokens,google-voicemail-detection-gemini-2.5-flash,SUM,cachedPromptTokens,0
google-voicemail-detection-gemini-2.5-flash-cacheCreationInputTokens,google-voicemail-detection-gemini-2.5-flash,SUM,cacheCreationInputTokens,0
google-voicemail-detection-gemini-2.5-flash-cacheReadInputTokens,google-voicemail-detection-gemini-2.5-flash,SUM,cacheReadInputTokens,0
groq-modeling-promptTokens,groq-modeling,SUM,promptTokens,0
groq-modeling-completionTokens,groq-modeling,SUM,completionTokens,0
groq-modeling-cachedPromptTokens,groq-modeling,SUM,cachedPromptTokens,0
groq-modeling-cacheCreationInputTokens,groq-modeling,SUM,cacheCreationInputTokens,0
groq-modeling-cacheReadInputTokens,groq-modeling,SUM,cacheReadInputTokens,0
openrouter-modeling-promptTokens,openrouter-modeling,SUM,promptTokens,0
openrouter-modeling-completionTokens,openrouter-modeling,SUM,completionTokens,0
openrouter-modeling-cachedPromptTokens,openrouter-modeling,SUM,cachedPromptTokens,0
openrouter-modeling-cacheCreationInputTokens,openrouter-modeling,SUM,cacheCreationInputTokens,0
openrouter-modeling-cacheReadInputTokens,openrouter-modeling,SUM,cacheReadInputTokens,0
11labs-synthesizer-eleven_multilingual_v2-promptTokens,11labs-synthesizer-eleven_multilingual_v2,SUM,promptTokens,0
11labs-synthesizer-eleven_multilingual_v2-completionTokens,11labs-synthesizer-eleven_multilingual_v2,SUM,completionTokens,0
11labs-synthesizer-eleven_multilingual_v2-cachedPromptTokens,11labs-synthesizer-eleven_multilingual_v2,SUM,cachedPromptTokens,0
11labs-synthesizer-eleven_multilingual_v2-cacheCreationInputTokens,11labs-synthesizer-eleven_multilingual_v2,SUM,cacheCreationInputTokens,0
11labs-synthesizer-eleven_multilingual_v2-cacheReadInputTokens,11labs-synthesizer-eleven_multilingual_v2,SUM,cacheReadInputTokens,0
deepgram-transcriber-promptTokens,deepgram-transcriber,SUM,promptTokens,0
deepgram-transcriber-completionTokens,deepgram-transcriber,SUM,completionTokens,0
deepgram-transcriber-cachedPromptTokens,deepgram-transcriber,SUM,cachedPromptTokens,0
deepgram-transcriber-cacheCreationInputTokens,deepgram-transcriber,SUM,cacheCreationInputTokens,0
deepgram-transcriber-cacheReadInputTokens,deepgram-transcriber,SUM,cacheReadInputTokens,0
anthropic-modelling-claude-sonnet-4-5-20250929-promptTokens,anthropic-modelling-claude-sonnet-4-5-20250929,SUM,promptTokens,0
anthropic-modelling-claude-sonnet-4-5-20250929-completionTokens,anthropic-modelling-claude-sonnet-4-5-20250929,SUM,completionTokens,0
anthropic-modelling-claude-sonnet-4-5-20250929-cachedPromptTokens,anthropic-modelling-claude-sonnet-4-5-20250929,SUM,cachedPromptTokens,0
anthropic-modelling-claude-sonnet-4-5-20250929-cacheCreationInputTokens,anthropic-modelling-claude-sonnet-4-5-20250929,SUM,cacheCreationInputTokens,0
anthropic-modelling-claude-sonnet-4-5-20250929-cacheReadInputTokens,anthropic-modelling-claude-sonnet-4-5-20250929,SUM,cacheReadInputTokens,0
xai-modeling-promptTokens,xai-modeling,SUM,promptTokens,0
xai-modeling-completionTokens,xai-modeling,SUM,completionTokens,0
xai-modeling-cachedPromptTokens,xai-modeling,SUM,cachedPromptTokens,0
xai-modeling-cacheCreationInputTokens,xai-modeling,SUM,cacheCreationInputTokens,0
xai-modeling-cacheReadInputTokens,xai-modeling,SUM,cacheReadInputTokens,0
anthropic-bedrock-modeling-promptTokens,anthropic-bedrock-modeling,SUM,promptTokens,0
anthropic-bedrock-modeling-completionTokens,anthropic-bedrock-modeling,SUM,completionTokens,0
anthropic-bedrock-modeling-cachedPromptTokens,anthropic-bedrock-modeling,SUM,cachedPromptTokens,0
anthropic-bedrock-modeling-cacheCreationInputTokens,anthropic-bedrock-modeling,SUM,cacheCreationInputTokens,0
anthropic-bedrock-modeling-cacheReadInputTokens,anthropic-bedrock-modeling,SUM,cacheReadInputTokens,0
anthropic-vertex-modeling-promptTokens,anthropic-vertex-modeling,SUM,promptTokens,0
anthropic-vertex-modeling-completionTokens,anthropic-vertex-modeling,SUM,completionTokens,0
anthropic-vertex-modeling-cachedPromptTokens,anthropic-vertex-modeling,SUM,cachedPromptTokens,0
anthropic-vertex-modeling-cacheCreationInputTokens,anthropic-vertex-modeling,SUM,cacheCreationInputTokens,0
anthropic-vertex-modeling-cacheReadInputTokens,anthropic-vertex-modeling,SUM,cacheReadInputTokens,0
anthropic-modelling-claude-3-5-sonnet-20240620-promptTokens,anthropic-modelling-claude-3-5-sonnet-20240620,SUM,promptTokens,0
anthropic-modelling-claude-3-5-sonnet-20240620-completionTokens,anthropic-modelling-claude-3-5-sonnet-20240620,SUM,completionTokens,0
anthropic-modelling-claude-3-5-sonnet-20240620-cachedPromptTokens,anthropic-modelling-claude-3-5-sonnet-20240620,SUM,cachedPromptTokens,0
anthropic-modelling-claude-3-5-sonnet-20240620-cacheCreationInputTokens,anthropic-modelling-claude-3-5-sonnet-20240620,SUM,cacheCreationInputTokens,0
anthropic-modelling-claude-3-5-sonnet-20240620-cacheReadInputTokens,anthropic-modelling-claude-3-5-sonnet-20240620,SUM,cacheReadInputTokens,0
anthropic-bedrock-modelling-claude-3-5-sonnet-20240620-promptTokens,anthropic-bedrock-modelling-claude-3-5-sonnet-20240620,SUM,promptTokens,0
anthropic-bedrock-modelling-claude-3-5-sonnet-20240620-completionTokens,anthropic-bedrock-modelling-claude-3-5-sonnet-20240620,SUM,completionTokens,0
anthropic-bedrock-modelling-claude-3-5-sonnet-20240620-cachedPromptTokens,anthropic-bedrock-modelling-claude-3-5-sonnet-20240620,SUM,cachedPromptTokens,0
anthropic-bedrock-modelling-claude-3-5-sonnet-20240620-cacheCreationInputTokens,anthropic-bedrock-modelling-claude-3-5-sonnet-20240620,SUM,cacheCreationInputTokens,0
anthropic-bedrock-modelling-claude-3-5-sonnet-20240620-cacheReadInputTokens,anthropic-bedrock-modelling-claude-3-5-sonnet-20240620,SUM,cacheReadInputTokens,0
cartesia-synthesizer-sonic-2-promptTokens,cartesia-synthesizer-sonic-2,SUM,promptTokens,0
cartesia-synthesizer-sonic-2-completionTokens,cartesia-synthesizer-sonic-2,SUM,completionTokens,0
cartesia-synthesizer-sonic-2-cachedPromptTokens,cartesia-synthesizer-sonic-2,SUM,cachedPromptTokens,0
cartesia-synthesizer-sonic-2-cacheCreationInputTokens,cartesia-synthesizer-sonic-2,SUM,cacheCreationInputTokens,0
cartesia-synthesizer-sonic-2-cacheReadInputTokens,cartesia-synthesizer-sonic-2,SUM,cacheReadInputTokens,0
anthropic-vertex-modelling-claude-3-5-sonnet-20240620-promptTokens,anthropic-vertex-modelling-claude-3-5-sonnet-20240620,SUM,promptTokens,0
anthropic-vertex-modelling-claude-3-5-sonnet-20240620-completionTokens,anthropic-vertex-modelling-claude-3-5-sonnet-20240620,SUM,completionTokens,0
anthropic-vertex-modelling-claude-3-5-sonnet-20240620-cachedPromptTokens,anthropic-vertex-modelling-claude-3-5-sonnet-20240620,SUM,cachedPromptTokens,0
anthropic-vertex-modelling-claude-3-5-sonnet-20240620-cacheCreationInputTokens,anthropic-vertex-modelling-claude-3-5-sonnet-20240620,SUM,cacheCreationInputTokens,0
anthropic-vertex-modelling-claude-3-5-sonnet-20240620-cacheReadInputTokens,anthropic-vertex-modelling-claude-3-5-sonnet-20240620,SUM,cacheReadInputTokens,0
anthropic-modelling-claude-3-7-sonnet-20250219-promptTokens,anthropic-modelling-claude-3-7-sonnet-20250219,SUM,promptTokens,0
anthropic-modelling-claude-3-7-sonnet-20250219-completionTokens,anthropic-modelling-claude-3-7-sonnet-20250219,SUM,completionTokens,0
anthropic-modelling-claude-3-7-sonnet-20250219-cachedPromptTokens,anthropic-modelling-claude-3-7-sonnet-20250219,SUM,cachedPromptTokens,0
anthropic-modelling-claude-3-7-sonnet-20250219-cacheCreationInputTokens,anthropic-modelling-claude-3-7-sonnet-20250219,SUM,cacheCreationInputTokens,0
anthropic-modelling-claude-3-7-sonnet-20250219-cacheReadInputTokens,anthropic-modelling-claude-3-7-sonnet-20250219,SUM,cacheReadInputTokens,0
anthropic-modelling-claude-3-5-haiku-20241022-promptTokens,anthropic-modelling-claude-3-5-haiku-20241022,SUM,promptTokens,0
anthropic-modelling-claude-3-5-haiku-20241022-completionTokens,anthropic-modelling-claude-3-5-haiku-20241022,SUM,completionTokens,0
anthropic-modelling-claude-3-5-haiku-20241022-cachedPromptTokens,anthropic-modelling-claude-3-5-haiku-20241022,SUM,cachedPromptTokens,0
anthropic-modelling-claude-3-5-haiku-20241022-cacheCreationInputTokens,anthropic-modelling-claude-3-5-haiku-20241022,SUM,cacheCreationInputTokens,0
anthropic-modelling-claude-3-5-haiku-20241022-cacheReadInputTokens,anthropic-modelling-claude-3-5-haiku-20241022,SUM,cacheReadInputTokens,0
cartesia-synthesizer-sonic-3-promptTokens,cartesia-synthesizer-sonic-3,SUM,promptTokens,0
cartesia-synthesizer-sonic-3-completionTokens,cartesia-synthesizer-sonic-3,SUM,completionTokens,0
cartesia-synthesizer-sonic-3-cachedPromptTokens,cartesia-synthesizer-sonic-3,SUM,cachedPromptTokens,0
cartesia-synthesizer-sonic-3-cacheCreationInputTokens,cartesia-synthesizer-sonic-3,SUM,cacheCreationInputTokens,0
cartesia-synthesizer-sonic-3-cacheReadInputTokens,cartesia-synthesizer-sonic-3,SUM,cacheReadInputTokens,0
anthropic-modelling-claude-opus-4-5-20251101-promptTokens,anthropic-modelling-claude-opus-4-5-20251101,SUM,promptTokens,0
anthropic-modelling-claude-opus-4-5-20251101-completionTokens,anthropic-modelling-claude-opus-4-5-20251101,SUM,completionTokens,0
anthropic-modelling-claude-opus-4-5-20251101-cachedPromptTokens,anthropic-modelling-claude-opus-4-5-20251101,SUM,cachedPromptTokens,0
anthropic-modelling-claude-opus-4-5-20251101-cacheCreationInputTokens,anthropic-modelling-claude-opus-4-5-20251101,SUM,cacheCreationInputTokens,0
anthropic-modelling-claude-opus-4-5-20251101-cacheReadInputTokens,anthropic-modelling-claude-opus-4-5-20251101,SUM,cacheReadInputTokens,0
together-ai-modeling-promptTokens,together-ai-modeling,SUM,promptTokens,0
together-ai-modeling-completionTokens,together-ai-modeling,SUM,completionTokens,0
together-ai-modeling-cachedPromptTokens,together-ai-modeling,SUM,cachedPromptTokens,0
together-ai-modeling-cacheCreationInputTokens,together-ai-modeling,SUM,cacheCreationInputTokens,0
together-ai-modeling-cacheReadInputTokens,together-ai-modeling,SUM,cacheReadInputTokens,0
11labs-synthesizer-eleven_flash_v2-promptTokens,11labs-synthesizer-eleven_flash_v2,SUM,promptTokens,0
11labs-synthesizer-eleven_flash_v2-completionTokens,11labs-synthesizer-eleven_flash_v2,SUM,completionTokens,0
11labs-synthesizer-eleven_flash_v2-cachedPromptTokens,11labs-synthesizer-eleven_flash_v2,SUM,cachedPromptTokens,0
11labs-synthesizer-eleven_flash_v2-cacheCreationInputTokens,11labs-synthesizer-eleven_flash_v2,SUM,cacheCreationInputTokens,0
11labs-synthesizer-eleven_flash_v2-cacheReadInputTokens,11labs-synthesizer-eleven_flash_v2,SUM,cacheReadInputTokens,0
deepgram-synthesizer-aura-2-promptTokens,deepgram-synthesizer-aura-2,SUM,promptTokens,0
deepgram-synthesizer-aura-2-completionTokens,deepgram-synthesizer-aura-2,SUM,completionTokens,0
deepgram-synthesizer-aura-2-cachedPromptTokens,deepgram-synthesizer-aura-2,SUM,cachedPromptTokens,0
deepgram-synthesizer-aura-2-cacheCreationInputTokens,deepgram-synthesizer-aura-2,SUM,cacheCreationInputTokens,0
deepgram-synthesizer-aura-2-cacheReadInputTokens,deepgram-synthesizer-aura-2,SUM,cacheReadInputTokens,0
cartesia-transcriber-promptTokens,cartesia-transcriber,SUM,promptTokens,0
cartesia-transcriber-completionTokens,cartesia-transcriber,SUM,completionTokens,0
cartesia-transcriber-cachedPromptTokens,cartesia-transcriber,SUM,cachedPromptTokens,0
cartesia-transcriber-cacheCreationInputTokens,cartesia-transcriber,SUM,cacheCreationInputTokens,0
cartesia-transcriber-cacheReadInputTokens,cartesia-transcriber,SUM,cacheReadInputTokens,0
anthropic-modelling-us.anthropic.claude-3-7-sonnet-20250219-v1:0-promptTokens,anthropic-modelling-us.anthropic.claude-3-7-sonnet-20250219-v1:0,SUM,promptTokens,0
anthropic-modelling-us.anthropic.claude-3-7-sonnet-20250219-v1:0-completionTokens,anthropic-modelling-us.anthropic.claude-3-7-sonnet-20250219-v1:0,SUM,completionTokens,0
anthropic-modelling-us.anthropic.claude-3-7-sonnet-20250219-v1:0-cachedPromptTokens,anthropic-modelling-us.anthropic.claude-3-7-sonnet-20250219-v1:0,SUM,cachedPromptTokens,0
anthropic-modelling-us.anthropic.claude-3-7-sonnet-20250219-v1:0-cacheCreationInputTokens,anthropic-modelling-us.anthropic.claude-3-7-sonnet-20250219-v1:0,SUM,cacheCreationInputTokens,0
anthropic-modelling-us.anthropic.claude-3-7-sonnet-20250219-v1:0-cacheReadInputTokens,anthropic-modelling-us.anthropic.claude-3-7-sonnet-20250219-v1:0,SUM,cacheReadInputTokens,0
anthropic-modelling-claude-3-5-sonnet-20241022-promptTokens,anthropic-modelling-claude-3-5-sonnet-20241022,SUM,promptTokens,0
anthropic-modelling-claude-3-5-sonnet-20241022-completionTokens,anthropic-modelling-claude-3-5-sonnet-20241022,SUM,completionTokens,0
anthropic-modelling-claude-3-5-sonnet-20241022-cachedPromptTokens,anthropic-modelling-claude-3-5-sonnet-20241022,SUM,cachedPromptTokens,0
anthropic-modelling-claude-3-5-sonnet-20241022-cacheCreationInputTokens,anthropic-modelling-claude-3-5-sonnet-20241022,SUM,cacheCreationInputTokens,0
anthropic-modelling-claude-3-5-sonnet-20241022-cacheReadInputTokens,anthropic-modelling-claude-3-5-sonnet-20241022,SUM,cacheReadInputTokens,0
anthropic-bedrock-modelling-claude-3-5-sonnet-20241022-promptTokens,anthropic-bedrock-modelling-claude-3-5-sonnet-20241022,SUM,promptTokens,0
